Species,Singing,Signal_type,No_of_songs_analysed,Note_count,Number_of_note_types,Peak_frequency_SD,Bandwidth_SD,Note_slope_SD,Frequency_variation,Note_length_SD,Song_duration,Note_rate,Sexual_selection_score,Sexual_selection_certainty,Territoriality,Territoriality_certainty,Sociality,Sociality_certainty,Mass,Relative_beak_size,Habitat_density,Species_richness,Average_peak_frequency,Average_note_length
Acrobatornis fonsecai,Yes,1,5,95,1,289.06,139.14,3.79,2.54,10.26,8.6,13.09,0,B,2,A,4,B,13.7,8.2,3,163,5060.29,55.6
Acropternis orthonyx,Yes,0,10,1,1,0,0,0,0,0,0.52,0.32,0,B,2,C,1,A,89.9,7.45,3,301,2584,520
Agriornis albicauda,Yes,1,4,6.5,2.5,311.54,189.15,1.02,2.54,24.22,3.38,1.45,0,B,1,B,1,A,53,36.8,1,269,2896.45,240.26
Agriornis lividus,Yes,0,2,1,1,0,0,0,0,0,0.07,0.08,0,C,1,C,1,B,99.1,19.28,2,50,3606.15,72.01
Agriornis micropterus,Yes,0,1,1,1,0,0,0,0,0,0.03,0.07,0,B,1,B,1,B,67.8,21.64,2,179,3140.6,32
Agriornis montanus,Yes,1,6,2,2,161.48,193.8,0.3,1.85,21,0.73,2.54,0,B,1,A,1,B,63.3,15.88,1,332,2982.33,336.03
Agriornis murinus,Yes,0,1,1,1,0,0,0,0,0,0.32,0.16,0,C,1,B,1,A,29.9,14.37,1,105,4875,319
Akletos goeldii,Yes,1,6,16,3,127.22,71.27,0.8,1.05,13.49,2.76,6.07,0,A,2,A,2,A,42,19.4,3,311,1977.48,79.56
Akletos melanoceps,Yes,1,6,12.5,2.5,108.17,95.54,1.14,1.17,24.15,2.33,5.13,0,A,2,B,2,A,38.5,23.84,3,360,2079.99,103.29
Alectrurus risora,No,NA,0,0,0,0,0,0,0,0,0,0,3,A,0,A,1,A,21,24.56,1,183,0,0
Alectrurus tricolor,No,NA,0,0,0,0,0,0,0,0,0,0,3,A,0,A,1,A,16,26.29,1,360,0,0
Ammonastes pelzelni,Yes,1,6,15,1,302.73,89.59,0.33,1.81,14.86,4.51,3.46,0,A,2,B,2,A,17.7,14.51,3,222,4118.14,234.01
Ampelioides tschudii,Yes,0,5,1,1,0,0,0,0,0,0.75,0.07,0,A,1,B,2,B,78.4,12.69,3,590,2454.8,745
Ampelion rubrocristatus,Yes,1,6,12,2,263.58,187.95,17.64,4.71,19.41,1.44,7.75,0,A,0,B,2,B,66.3,11.77,2,537,2421.6,26.32
Ampelion rufaxilla,Yes,0.8,5,11,2,120.87,227.03,26.39,5.61,41.64,0.74,11.25,0,A,0,B,2,C,73.9,6.95,3,434,2556.16,32.88
Ampelornis griseiceps,Yes,1,4,26,1.5,565.23,235.71,6.6,4.64,4.34,0.84,30.39,0,B,2,C,2,A,15,16.85,3,149,2233.66,22.86
Anabacerthia amaurotis,Yes,1,3,26,1,145.27,409.43,3.44,3.5,11.95,4.5,3.3,0,B,1,B,2,A,19.2,19.36,3,245,6801.19,72.1
Anabacerthia lichtensteini,Yes,1,5,11,1,293.99,190.47,2.85,2.73,15.43,2.71,4.17,0,A,1,B,4,B,21,15.48,3,279,6324.14,81.38
Anabacerthia ruficaudata,Yes,1,6,19,1,255.5,131.7,2.65,2.2,10.69,2.51,8.12,0,A,1,B,2,B,30.1,13.23,3,487,1734.02,65.44
Anabacerthia striaticollis,Yes,1,6,15.5,1,288.21,332.02,6.15,4.02,9.64,4.23,3.23,0,B,1,B,2,A,24.8,15.39,3,598,6715.07,70.91
Anabacerthia variegaticeps,Yes,1,5,12,1,409.67,426.55,5.44,4.97,12.58,4.89,3.65,0,B,1,B,2,A,27.8,11.23,3,295,6520.26,113.33
Anabazenops dorsalis,Yes,1,5,20,1,163.69,72.36,0.91,1.23,14.28,5.82,3.23,0,A,2,A,2,A,35.4,24.79,3,471,1793.42,95.52
Anabazenops fuscus,Yes,1,6,15,1,144.31,56.61,1.78,1.18,8.23,2.84,5.36,0,A,2,A,2,A,38.5,21.08,3,260,2417.83,62.88
Anairetes alpinus,Yes,1,4,31.5,7,549.62,447.54,23.35,8.23,9.59,2.07,17.34,0,B,2,A,2,A,9,10.42,1,253,5008.62,25.26
Anairetes fernandezianus,Yes,1,2,16.5,3.5,148.04,141.59,3.26,1.91,18.83,3.65,4.87,0,B,2,A,2,A,6.9,19.56,2,0,2421.22,61.85
Anairetes flavirostris,Yes,1,5,36,7,289.87,163.67,12.6,3.95,2.73,0.7,44.56,0,B,1,B,4,B,6,16.59,2,361,4635.94,17.6
Anairetes nigrocristatus,Yes,1,6,18.5,4,424.97,95.99,2.37,2.64,14.27,2.15,9.16,0,B,2,B,3,B,9.2,10.09,2,171,2680.64,55.37
Anairetes parulus,Yes,1,6,3.5,3,957.6,453.46,39.63,12.25,52.41,0.23,13.27,0,A,2,A,3,A,6.2,9.51,2,369,5760.15,68.5
Anairetes reguloides,Yes,1,5,7,2,374.36,173.11,0.83,2.67,13.23,1.86,3.58,0,B,2,B,2,A,5.9,15.86,2,57,2959.24,150.57
