Species,Singing,Signal_type,Note_count,Number_of_note_types,Peak_frequency_SD,Bandwidth_SD,Note_slope_SD,Frequency_variation,Note_length_SD,Song_duration,Note_rate,Average_peak_frequency,Average_note_length,Song_source,Catalog_number
Acrobatornis fonsecai,Yes,1,68,1,289.06,126.95,3.79,2.20,8.32,3.63,18.64,5060.29,39.10,Tobias et al. 2014,99674
Acrobatornis fonsecai,Yes,1,94,1,260.57,139.14,2.61,2.00,9.17,8.60,10.89,5413.44,60.60,Tobias et al. 2014,99720
Acrobatornis fonsecai,Yes,1,95,1,416.67,544.42,11.93,5.89,10.26,7.24,13.09,5956.10,55.60,Tobias et al. 2014,99221
Acrobatornis fonsecai,Yes,1,113,1,405.74,210.28,7.26,3.52,18.81,9.10,12.39,4771.75,64.20,Tobias et al. 2014,99719
Acrobatornis fonsecai,Yes,1,210,1,266.75,120.28,3.34,2.03,12.04,14.70,14.27,4832.06,49.70,Tobias et al. 2014,9920272
Acropternis orthonyx,Yes,0,1,1,0.00,0.00,0.00,0.00,0.00,0.42,0.17,2812.50,417.00,Xeno-canto,XC22280
Acropternis orthonyx,Yes,0,1,1,0.00,0.00,0.00,0.00,0.00,0.30,0.38,2239.50,297.00,Xeno-canto,XC65906
Acropternis orthonyx,Yes,0,1,1,0.00,0.00,0.00,0.00,0.00,0.47,0.35,2584.00,471.00,Xeno-canto,XC194942
Acropternis orthonyx,Yes,0,1,1,0.00,0.00,0.00,0.00,0.00,0.52,0.23,2842.40,518.00,Xeno-canto,XC218189
Acropternis orthonyx,Yes,0,1,1,0.00,0.00,0.00,0.00,0.00,0.52,0.35,2584.00,522.00,Xeno-canto,XC273918
Acropternis orthonyx,Yes,0,1,1,0.00,0.00,0.00,0.00,0.00,0.66,0.68,2454.80,658.00,Xeno-canto,XC74783
Acropternis orthonyx,Yes,0,1,1,0.00,0.00,0.00,0.00,0.00,0.55,0.26,2296.90,554.00,Xeno-canto,XC182312
Acropternis orthonyx,Yes,0,1,1,0.00,0.00,0.00,0.00,0.00,0.52,0.39,2627.10,518.00,Xeno-canto,XC46544
Acropternis orthonyx,Yes,0,1,1,0.00,0.00,0.00,0.00,0.00,1.06,0.29,2671.90,1060.00,Xeno-canto,XC62337
Acropternis orthonyx,Yes,0,1,1,0.00,0.00,0.00,0.00,0.00,0.59,0.27,2196.40,590.00,Xeno-canto,XC13087
Agriornis albicauda,Yes,1,5,1,140.94,117.08,0.88,1.22,26.48,3.04,1.45,2934.38,280.40,Xeno-canto,XC512953
Agriornis albicauda,Yes,1,6,2,336.98,180.44,0.80,2.25,21.96,3.72,1.46,2684.47,289.33,Xeno-canto,XC332922
Agriornis albicauda,Yes,1,7,3,335.04,326.25,2.86,3.26,56.32,2.76,2.32,3211.50,175.71,Xeno-canto,XC163034
Agriornis albicauda,Yes,1,8,4,288.04,197.87,1.16,2.20,18.32,5.33,1.37,2858.53,200.13,Xeno-canto,XC364209
